                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44661.2083  04/10/2022        0.0000       30.5526        0.0000        0.0000        0.0000        0.0000
  44661.2500  04/10/2022        0.0000       30.5647        0.0000        0.0000        0.0000        0.0000
  44661.2917  04/10/2022        0.0000       30.5727        0.0000        0.0000        0.0000        0.0000
  44661.3333  04/10/2022        0.0000       30.4521        0.0000        0.0000        0.0000        0.0000
  44661.3750  04/10/2022        0.0000       29.7495        0.0000        0.0000        0.0000        0.0000
  44661.4167  04/10/2022        0.0000       27.7569        0.0000        0.0000        0.0000        0.0000
  44661.4583  04/10/2022        0.0000       27.2803        0.0000        0.0000        0.0000        0.0000
  44661.5000  04/10/2022        0.0000       26.8512        0.0000        0.0000        0.0000        0.0000
  44661.5417  04/10/2022        0.0000       26.7096        0.0000        0.0000        0.0000        0.0000
  44661.5833  04/10/2022        0.0000       26.3125        0.0000        0.0000        0.0000        0.0000
  44661.6250  04/10/2022        0.0000       26.4137        0.0000        0.0000        0.0000        0.0000
  44661.6667  04/10/2022        0.0000       26.9135        0.0000        0.0000        0.0000        0.0000
  44661.7083  04/10/2022        0.0000       27.2837        0.0000        0.0000        0.0000        0.0000
  44661.7500  04/10/2022        0.0000       27.6396        0.0000        0.0000        0.0000        0.0000
  44661.7917  04/10/2022        0.0000       29.9855        0.0000        0.0000        0.0000        0.0000
  44661.8333  04/10/2022        0.0000       30.3042        0.0000        0.0000        0.0000        0.0000
  44661.8750  04/10/2022        0.0000       30.5196        0.0000        0.0000        0.0000        0.0000
  44661.9167  04/10/2022        0.0000       30.5507        0.0000        0.0000        0.0000        0.0000
  44661.9583  04/10/2022        0.0000       30.5668        0.0000        0.0000        0.0000        0.0000
  44662.0000  04/11/2022        0.0000       30.5815        0.0000        0.0000        0.0000        0.0000
  44662.0417  04/11/2022        0.0000       30.5559        0.0000        0.0000        0.0000        0.0000
  44662.0833  04/11/2022        0.0000       30.5682        0.0000        0.0000        0.0000        0.0000
  44662.1250  04/11/2022        0.0000       30.5801        0.0000        0.0000        0.0000        0.0000
  44662.1667  04/11/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44662.2083  04/11/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44662.2500  04/11/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44662.2917  04/11/2022        0.0000       30.5807        0.0000        0.0000        0.0000        0.0000
  44662.3333  04/11/2022        0.0000       30.5180        0.0000        0.0000        0.0000        0.0000
  44662.3750  04/11/2022        0.0000       30.0891        0.0000        0.0000        0.0000        0.0000
  44662.4167  04/11/2022        0.0000       29.4017        0.0000        0.0000        0.0000        0.0000
  44662.4583  04/11/2022        0.0000       27.4347        0.0000        0.0000        0.0000        0.0000
  44662.5000  04/11/2022        0.0000       26.9738        0.0000        0.0000        0.0000        0.0000
